Zadejte pocet nadrzi:
Zadejte parametry nadrzi:
Zadejte objem vody:
Prazdne.
h = -332.998611
h = -302.828522
h = -311.920478
h = -312.615162
h = -301.992118
h = -303.851372
h = -324.682064
h = -310.172992
h = -328.393254
h = -306.687347
h = -325.242060
h = -301.651728
h = -328.849007
h = -328.037237
h = -326.884870
h = -327.686916
h = -310.551852
h = -309.949008
h = -318.416538
h = -298.755111
h = -318.788153
h = -323.804418
h = -312.297890
h = -308.190019
h = -310.914953
h = -308.904266
h = -324.930437
h = -311.479848
h = -321.510733
h = -323.705618
h = -324.285400
h = -316.931528
h = -322.373517
h = -304.024998
h = -310.651753
h = -304.396975
h = -313.671769
h = -317.438276
h = -305.203967
h = -298.998102
h = -326.420490
h = -311.040938
h = -321.876279
h = -315.521148
h = -316.530749
h = -307.192193
h = -322.866588
h = -320.762884
h = -325.231253
h = -314.136129
h = -302.917698
h = -328.288843
h = -322.654560
h = -296.187532
h = -300.089325
h = -308.569785
h = -310.851825
h = -311.438004
h = -305.611448
h = -316.631465
h = -314.993479
h = -327.240800
h = -327.730870
h = -321.611901
h = -301.052882
h = -301.573550
h = -311.988769
h = -315.560275
h = -329.184977
h = -319.720406
h = -319.174260
h = -296.126214
h = -313.767412
h = -327.509930
h = -319.726836
h = -308.616158
h = -300.374283
h = -303.741962
h = -312.032153
h = -322.709718
h = -320.166199
h = -298.610543
h = -325.217358
h = -329.819877
h = -306.908523
h = -322.464813
h = -315.495064
h = -321.262023
h = -322.141292
h = -329.035769
h = -306.669776
h = -304.801014
h = -322.003261
h = -305.632642
h = -311.057332
h = -312.773300
h = -310.602935
h = -319.451590
h = -315.278326
h = -326.752757
h = -296.450945
h = -293.000000
Pretece.
