Zadejte pocet nadrzi:
Zadejte parametry nadrzi:
Zadejte objem vody:
Prazdne.
h = -183.999839
h = -179.847044
h = -183.578246
h = -177.314749
h = -174.549004
h = -182.816356
h = -173.861825
h = -177.666452
h = -177.861504
h = -174.391067
h = -176.625482
h = -172.830174
h = -174.550450
h = -173.163560
h = -175.753374
h = -173.951960
h = -174.112307
h = -176.825353
h = -179.571176
h = -183.077281
h = -183.394441
h = -176.758515
h = -173.356684
h = -172.429306
h = -180.729916
h = -175.265585
h = -176.588850
h = -175.893156
h = -179.127249
h = -173.892674
h = -178.602185
h = -178.132712
h = -180.750161
h = -180.235219
h = -172.850578
h = -182.008355
h = -171.266388
h = -171.535026
h = -181.024100
h = -176.697622
h = -173.665328
h = -183.425611
h = -177.375803
h = -177.137211
h = -173.553663
h = -177.128856
h = -171.794023
h = -177.071658
h = -182.703085
h = -176.343027
h = -183.573586
h = -180.808323
h = -176.791292
h = -183.248875
h = -178.577442
h = -181.935893
h = -183.676896
h = -172.541774
h = -176.301735
h = -177.176093
h = -173.547397
h = -179.911954
h = -172.455495
h = -173.615360
h = -178.573907
h = -174.948747
h = -182.370823
h = -174.943927
h = -174.988111
h = -177.250964
h = -172.176253
h = -179.640746
h = -174.317320
h = -181.556395
h = -174.122590
h = -182.135925
h = -174.912114
h = -178.637693
h = -171.122429
h = -173.705656
h = -173.250803
h = -173.500964
h = -181.999357
h = -182.785668
h = -183.220758
h = -175.196658
h = -183.596883
h = -183.585958
h = -175.849775
h = -177.255945
h = -178.910186
h = -183.650546
h = -172.558001
h = -172.966742
h = -175.331780
h = -177.608612
h = -183.963528
h = -183.345276
h = -182.678021
h = -179.829692
h = -175.705656
h = -171.000000
Pretece.
