Zadejte pocet nadrzi:
Zadejte parametry nadrzi:
Zadejte objem vody:
h = 607.575670
h = 297.391605
h = 52.914027
h = 435.016541
h = 327.028283
h = 430.754887
h = 51.229261
h = 616.706924
h = 603.662835
h = 593.806513
h = 57.257164
h = 891.316239
h = 299.071605
h = 606.391762
h = 443.458647
h = 298.656790
h = 383.434066
h = 52.316742
h = 461.915789
h = 432.093233
h = 47.534691
h = 64.770739
h = 447.096241
h = 323.387879
h = 619.719807
h = 891.475214
h = 614.745211
h = 49.283560
h = 329.052525
h = 611.431992
h = 593.990421
h = 459.530827
h = 52.196078
h = 53.579940
h = 330.963636
h = 444.106767
h = 590.181034
h = 780.754098
h = 889.709402
h = 62.461538
h = 897.646154
h = 50.456259
h = 323.222222
h = 607.568008
h = 65.825038
h = 780.221311
h = 892.379487
h = 615.046699
h = 59.726998
h = 897.292308
h = 621.175523
h = 616.888889
h = 900.502564
h = 53.895173
h = 299.211852
h = 611.369732
h = 746.716216
h = 338.248485
h = 458.109774
h = 612.526820
h = 404.857143
h = 384.950549
h = 588.877617
h = 608.521073
h = 46.659879
h = 47.258673
h = 622.202899
h = 334.325253
h = 376.153846
h = 70.082202
h = 57.426094
h = 299.687407
h = 610.394636
h = 430.595489
h = 436.813534
h = 444.969925
h = 299.734321
h = 296.515556
h = 298.689383
h = 401.313187
h = 63.876320
h = 611.576628
h = 893.360684
h = 73.945701
h = 69.386878
h = 335.044444
h = 58.338612
h = 593.199234
h = 449.873684
h = 56.127451
h = 454.959398
h = 620.694042
h = 64.307692
h = 451.066165
h = 70.699849
h = 612.308429
h = 326.725253
h = 447.995489
h = 433.070677
h = 750.581081
